UK Total monthly air passengers	
Paper:	
	Grubb, H. and Mason, A. (2001)
	Long lead-time forecasting of UK air passengers by Holt-Winters methods with damped trend
	International Journal of Forecasting, 17, 71-82.
Sources:	
1949-67	Summary of Activity at Aerodromes
	Table 4: Passengers Handled - Scheduled and Charter flights
	All Operators, Terminal
	Jan 49 - Aug 53: M.C.A. (Ministry of Civil Aviation) and other UK Aerodromes
	Sept 53 - Sept 59: M.T.C.A. (Ministry of Transport and Civil Aviation) and other UK Aerodromes
	Oct 59 - Aug 66: M.O.A. (Ministry of Aviation) and other UK Aerodromes
	Sept 66 - Dec 67: B.O.T. (Board of Trade) and other UK Aerodromes
1968-72	Business Monitor, Civil Aviation Series, CA2 Air Passengers, Table 1
1973-90	CAA Monthly Airport Statistics (figures taken from following year's book, in order to catch updates)
1991 onwards	Produced by CAA Airports Statistics System
Contact:	
Howard Grubb	Department of Applied Statistics
	The University of Reading
	PO Box 240, READING, RG6 6FN, UK
	H.J.Grubb@reading.ac.uk
	http://www.reading.ac.uk/~snsgrubb
Alexina Mason	National Air Traffic Services Ltd
	CAA House, 45-59 Kingsway
	LONDON WC2B 6TE

Date	Total monthly passengers
Jan-49	73899
Feb-49	69383
Mar-49	87023
Apr-49	131072
May-49	154244
Jun-49	193032
Jul-49	261070
Aug-49	288347
Sep-49	238048
Oct-49	150201
Nov-49	92655
Dec-49	100370
Jan-50	94466
Feb-50	86207
Mar-50	116394
Apr-50	153373
May-50	173159
Jun-50	227745
Jul-50	315537
Aug-50	327925
Sep-50	274856
Oct-50	168585
Nov-50	92378
Dec-50	101917
Jan-51	94328
Feb-51	97299
Mar-51	146238
Apr-51	158621
May-51	200097
Jun-51	269388
Jul-51	343669
Aug-51	380398
Sep-51	323299
Oct-51	191321
Nov-51	128753
Dec-51	137633
Jan-52	122711
Feb-52	111646
Mar-52	134646
Apr-52	187393
May-52	211246
Jun-52	294460
Jul-52	391743
Aug-52	443229
Sep-52	342756
Oct-52	217999
Nov-52	154712
Dec-52	163622
Jan-53	131129
Feb-53	131770
Mar-53	174153
Apr-53	247849
May-53	282319
Jun-53	357265
Jul-53	499983
Aug-53	556172
Sep-53	414501
Oct-53	268597
Nov-53	170217
Dec-53	184770
Jan-54	171367
Feb-54	146985
Mar-54	200642
Apr-54	289733
May-54	317550
Jun-54	431612
Jul-54	601791
Aug-54	627114
Sep-54	485831
Oct-54	301055
Nov-54	200175
Dec-54	229805
Jan-55	196327
Feb-55	181201
Mar-55	238345
Apr-55	338567
May-55	386804
Jun-55	543586
Jul-55	741575
Aug-55	740148
Sep-55	598400
Oct-55	362341
Nov-55	232064
Dec-55	271822
Jan-56	240773
Feb-56	221817
Mar-56	317769
Apr-56	381760
May-56	450335
Jun-56	636900
Jul-56	825836
Aug-56	904987
Sep-56	711187
Oct-56	413184
Nov-56	285213
Dec-56	296355
Jan-57	287635
Feb-57	259882
Mar-57	339016
Apr-57	469766
May-57	541163
Jun-57	782157
Jul-57	954760
Aug-57	1070992
Sep-57	807490
Oct-57	461846
Nov-57	307721
Dec-57	317996
Jan-58	296176
Feb-58	266901
Mar-58	345012
Apr-58	466424
May-58	564607
Jun-58	758112
Jul-58	978975
Aug-58	1114482
Sep-58	829263
Oct-58	501665
Nov-58	303766
Dec-58	335788
Jan-59	313844
Feb-59	271750
Mar-59	437314
Apr-59	517920
May-59	665768
Jun-59	874516
Jul-59	1131945
Aug-59	1241972
Sep-59	991780
Oct-59	602402
Nov-59	378599
Dec-59	438778
Jan-60	417277
Feb-60	390254
Mar-60	486756
Apr-60	746197
May-60	826569
Jun-60	1130973
Jul-60	1502793
Aug-60	1516470
Sep-60	1232036
Oct-60	772724
Nov-60	504711
Dec-60	548187
Jan-61	529878
Feb-61	477183
Mar-61	677659
Apr-61	850402
May-61	1061542
Jun-61	1399669
Jul-61	1756448
Aug-61	1847438
Sep-61	1496796
Oct-61	919924
Nov-61	586382
Dec-61	646156
Jan-62	625385
Feb-62	580015
Mar-62	743655
Apr-62	1020903
May-62	1121636
Jun-62	1634299
Jul-62	1937429
Aug-62	2035124
Sep-62	1704947
Oct-62	1011397
Nov-62	694996
Dec-62	683625
Jan-63	657964
Feb-63	612500
Mar-63	858905
Apr-63	1163779
May-63	1317240
Jun-63	1783883
Jul-63	2108593
Aug-63	2284590
Sep-63	1867816
Oct-63	1191920
Nov-63	801596
Dec-63	857366
Jan-64	807679
Feb-64	788196
Mar-64	1048586
Apr-64	1255374
May-64	1573484
Jun-64	1911323
Jul-64	2354975
Aug-64	2542235
Sep-64	2109808
Oct-64	1375667
Nov-64	890593
Dec-64	979486
Jan-65	965827
Feb-65	897714
Mar-65	1115193
Apr-65	1563826
May-65	1778045
Jun-65	2205766
Jul-65	2713964
Aug-65	2742043
Sep-65	2380606
Oct-65	1512508
Nov-65	973985
Dec-65	1068763
Jan-66	1087340
Feb-66	969272
Mar-66	1265028
Apr-66	1701940
May-66	2058939
Jun-66	2636247
Jul-66	3210275
Aug-66	3061109
Sep-66	2625751
Oct-66	1671856
Nov-66	1081541
Dec-66	1212277
Jan-67	1199597
Feb-67	1056882
Mar-67	1500550
Apr-67	1735761
May-67	2174310
Jun-67	2631107
Jul-67	3253677
Aug-67	3268274
Sep-67	2873605
Oct-67	1880510
Nov-67	1192294
Dec-67	1236054
Jan-68	1215508
Feb-68	1118232
Mar-68	1423272
Apr-68	1906685
May-68	2131697
Jun-68	2707450
Jul-68	3330512
Aug-68	3400440
Sep-68	2900354
Oct-68	1931887
Nov-68	1349876
Dec-68	1429236
Jan-69	1370282
Feb-69	1152502
Mar-69	1595398
Apr-69	2124574
May-69	2499139
Jun-69	3047764
Jul-69	3695421
Aug-69	3896704
Sep-69	3278670
Oct-69	2250074
Nov-69	1566806
Dec-69	1586665
Jan-70	1558779
Feb-70	1372360
Mar-70	1916043
Apr-70	2319737
May-70	2859886
Jun-70	3320953
Jul-70	4083588
Aug-70	4310411
Sep-70	3694298
Oct-70	2597824
Nov-70	1773469
Dec-70	1799107
Jan-71	1685936
Feb-71	1536816
Mar-71	2024020
Apr-71	2742061
May-71	3107840
Jun-71	3680119
Jul-71	4442288
Aug-71	4494104
Sep-71	4028188
Oct-71	3039392
Nov-71	2074668
Dec-71	2078112
Jan-72	2146686
Feb-72	1853645
Mar-72	2570660
Apr-72	3014801
May-72	3411970
Jun-72	3873119
Jul-72	4561850
Aug-72	4675484
Sep-72	4433030
Oct-72	3479913
Nov-72	2571051
Dec-72	2533162
Jan-73	2475183
Feb-73	2209503
Mar-73	2867487
Apr-73	3611085
May-73	3690609
Jun-73	4212078
Jul-73	4993179
Aug-73	5077506
Sep-73	4704810
Oct-73	3661353
Nov-73	2910876
Dec-73	2710869
Jan-74	2568027
Feb-74	2223459
Mar-74	2776614
Apr-74	3280998
May-74	3352545
Jun-74	3902043
Jul-74	4494879
Aug-74	4632681
Sep-74	4318593
Oct-74	3417636
Nov-74	2573868
Dec-74	2547042
Jan-75	2505975
Feb-75	2185866
Mar-75	2903610
Apr-75	3099618
May-75	3658422
Jun-75	4076472
Jul-75	4782486
Aug-75	4996848
Sep-75	4517715
Oct-75	3765096
Nov-75	2679444
Dec-75	2674236
Jan-76	2703186
Feb-76	2419050
Mar-76	2994647
Apr-76	3536033
May-76	3906095
Jun-76	4274977
Jul-76	5053999
Aug-76	5138735
Sep-76	4757784
Oct-76	3982849
Nov-76	2983808
Dec-76	2914613
Jan-77	2955452
Feb-77	2644937
Mar-77	3371198
Apr-77	3340945
May-77	3998445
Jun-77	4561345
Jul-77	5451880
Aug-77	5039909
Sep-77	4516740
Oct-77	3880263
Nov-77	3122215
Dec-77	3043898
Jan-78	3101018
Feb-78	2785397
Mar-78	3782159
Apr-78	3878905
May-78	4478296
Jun-78	5116541
Jul-78	5968551
Aug-78	5858728
Sep-78	5581965
Oct-78	4775295
Nov-78	3662687
Dec-78	3486300
Jan-79	3216724
Feb-79	3027786
Mar-79	3948857
Apr-79	4646039
May-79	5000940
Jun-79	5614225
Jul-79	6413342
Aug-79	6534613
Sep-79	6097579
Oct-79	5184357
Nov-79	3732783
Dec-79	3574889
Jan-80	3561713
Feb-80	3428435
Mar-80	4253727
Apr-80	4517356
May-80	5035845
Jun-80	5655997
Jul-80	6334394
Aug-80	6682731
Sep-80	6069496
Oct-80	5081927
Nov-80	3619716
Dec-80	3577011
Jan-81	3578924
Feb-81	3311566
Mar-81	3996870
Apr-81	4533936
May-81	4914468
Jun-81	5495269
Jul-81	6422499
Aug-81	6768986
Sep-81	6271108
Oct-81	5271875
Nov-81	3749124
Dec-81	3455159
Jan-82	3721008
